product_category,category_count,food_type,importer,importer_count
과실주,45595,구분,주식회사 신세계엘앤비,2672
과실주,45595,구분,(주)금양인터내셔날,2509
과실주,45595,구분,나라셀라 주식회사,2029
과실주,45595,구분,하이트진로(주),1895
과실주,45595,구분,주식회사 레뱅,1534
과실주,45595,구분,롯데칠성음료(주),1521
과실주,45595,구분,(주)아영에프비씨,1394
과실주,45595,구분,(주)비티스,1327
과실주,45595,구분,에노테카코리아(주),1056
과실주,45595,구분,엠에이치샴페인즈앤드와인즈코리아(주),816
과실주,45595,구분,비네센코리아 주식회사,793
과실주,45595,구분,(주)와인나라아이비,772
과실주,45595,구분,한독와인(주),749
과실주,45595,구분,서울와인앤스피릿 유한회사,668
과실주,45595,구분,비노파라다이스,615
과실주,45595,구분,(주)크리스탈와인컬렉션,603
과실주,45595,구분,주식회사 동원와인플러스,574
과실주,45595,구분,신동와인(주),568
과실주,45595,구분,씨에스알와인 주식회사,563
과실주,45595,구분,(주)비노쿠스,526
과실주,45595,구분,주식회사 뱅베,466
과실주,45595,구분,(주)우진인터내셔날,452
과실주,45595,구분,주식회사 비케이트레이딩,438
과실주,45595,구분,(주)루벵코리아,419
과실주,45595,구분,(주)와이넬,402
과실주,45595,구분,(주)까브드뱅,375
과실주,45595,구분,다경상사주식회사,375
과실주,45595,구분,(주)국순당 수입주류,372
과실주,45595,구분,케이엔제이와인앤스피리츠 주식회사,358
과실주,45595,구분,(주)비노비노,350
과실주,45595,구분,실반씨더블유씨코리아 유한회사,316
과실주,45595,구분,주식회사 셀라프리베 ,315
과실주,45595,구분,주식회사 뱅가드와인머천트,299
과실주,45595,구분,주식회사 비노에이치,272
과실주,45595,구분,타이거인터내셔날 주식회사,251
과실주,45595,구분,(주)인터와인,240
과실주,45595,구분,퍼플독 인터내셔날,223
과실주,45595,구분,더블유에스통상 주식회사,223
과실주,45595,구분,리미떼뱅(주),218
과실주,45595,구분,와이너(winer),217
과실주,45595,구분,골드브릿지와인,217
과실주,45595,구분,유와인(주),211
과실주,45595,구분,(주)문도비노,195
과실주,45595,구분,주식회사 딜레땅뜨와인셀라,183
과실주,45595,구분,뱅쿱,173
과실주,45595,구분,월드와인(주),163
과실주,45595,구분,극동와인(주),162
과실주,45595,구분,(주)레드슈가,156
과실주,45595,구분,비노테크 주식회사,155
과실주,45595,구분,(주)나루글로벌,154
과실주,45595,구분,(주)치코비노인터내셔날,145
과실주,45595,구분,(주)마이와인즈,142
과실주,45595,구분,(주) 뱅 레어,135
과실주,45595,구분,주식회사 밀레짐와인,133
과실주,45595,구분,"주식회사 카보드(Kavod Co.,Ltd.)",132
과실주,45595,구분,(주)나라스피릿,132
과실주,45595,구분,(주)빈티지코리아,130
과실주,45595,구분,(주)엘비,129
과실주,45595,구분,주식회사 레드와인앤제이와이,128
과실주,45595,구분,호메오와인갤러리 주식회사,127
과실주,45595,구분,주식회사 피카툼,126
과실주,45595,구분,(주)한결와인,126
과실주,45595,구분,(주)무학주류상사,122
과실주,45595,구분,(주)비탈와인,119
과실주,45595,구분,아부아,116
과실주,45595,구분,(주) 올드앤레어와인,115
과실주,45595,구분,주식회사 뱅브로,114
과실주,45595,구분,(주)위매드,113
과실주,45595,구분,(주)비니더스 코리아,113
과실주,45595,구분,(주)프라임와인,112
과실주,45595,구분,(주)올빈와인,109
과실주,45595,구분,티애니떼루와(주),108
과실주,45595,구분,와인투유코리아(주),107
과실주,45595,구분,아베크와인주식회사,105
과실주,45595,구분,미라클와인즈(주),105
과실주,45595,구분,(주)카나와인,104
과실주,45595,구분,르셀리에 주식회사,98
과실주,45595,구분,(주)몬도델비노코리아,97
과실주,45595,구분,(주)제이와인컴퍼니,94
과실주,45595,구분,(주)에스제이와인그룹,94
과실주,45595,구분,(주)피엔케이트레이딩,94
과실주,45595,구분,(주)윈비어,94
과실주,45595,구분,(주)웰그린라들러,93
과실주,45595,구분,주식회사 어벤져스와인,92
과실주,45595,구분,주식회사 비노엘,91
과실주,45595,구분,주식회사 리커타임,91
과실주,45595,구분,가자무역(주),86
과실주,45595,구분,디캔터주식회사,86
과실주,45595,구분,(주)댓와인,86
과실주,45595,구분,(주)모멘텀 와인컴퍼니,85
과실주,45595,구분,(주)비노킴즈,85
과실주,45595,구분,부포컴퍼니 주식회사,85
과실주,45595,구분,주식회사 한빛,83
과실주,45595,구분,(주)한산더블유앤비,81
과실주,45595,구분,주식회사 유리스에프앤비(F&B),80
과실주,45595,구분,(주)샤프트레이딩,79
과실주,45595,구분,(주)에프엘코리아,79
과실주,45595,구분,주식회사 케이프밸리 와인,79
과실주,45595,구분,(주)지에프비노,78
과실주,45595,구분,(주)장성 글로벌,75
과실주,45595,구분,(주)코스모엘앤비,73
과실주,45595,구분,(주)페르노리카코리아,72
과실주,45595,구분,부떼이,72
과실주,45595,구분,(주)더뱅셀렉션,72
과실주,45595,구분,주식회사 루미노,70
과실주,45595,구분,주)케이에스와인,69
과실주,45595,구분,노바와인즈,69
과실주,45595,구분,셀러와이,68
과실주,45595,구분,와인랜드주식회사,68
과실주,45595,구분,(주)연일주류수입판매,68
과실주,45595,구분,(주)안시와인,67
과실주,45595,구분,주식회사 씨알트레이딩,67
과실주,45595,구분,이스티 와인즈,67
과실주,45595,구분,와이너리주식회사,66
과실주,45595,구분,주식회사 더블루인터내셔널,66
과실주,45595,구분,(주)그레이프코리아,65
과실주,45595,구분,와인엔,65
과실주,45595,구분,주식회사 히든셀러,65
과실주,45595,구분,주식회사 에이엘,64
과실주,45595,구분,칸노나우,64
과실주,45595,구분,(주)비나로마,63
과실주,45595,구분,안단테 와인 프로젝트,61
과실주,45595,구분,이지와인(주),60
과실주,45595,구분,(주)바쿠스,60
과실주,45595,구분,오늘와인 주식회사,59
과실주,45595,구분,수빈셀렉션,59
과실주,45595,구분,인덜지(주),59
과실주,45595,구분,배리와인,59
과실주,45595,구분,케이제이무역주식회사,59
과실주,45595,구분,주식회사 비노스와인,58
과실주,45595,구분,그린터틀 주식회사(Green Turtle Inc.),58
과실주,45595,구분,트레드수드,58
과실주,45595,구분,"주식회사 지비코리아 (G B Korea., Ltd)",57
과실주,45595,구분,(주)와이브라더스컴퍼니,57
과실주,45595,구분,(주)인터불고루에다,57
과실주,45595,구분,주식회사바틀링,56
과실주,45595,구분,포도당,55
과실주,45595,구분,주식회사 무디타컴퍼니,55
과실주,45595,구분,유니크와인 주식회사,54
과실주,45595,구분,베리타스 비노,53
과실주,45595,구분,(주)비즈에프앤비코리아,52
과실주,45595,구분,(주)인디팬던트리쿼코리아,52
과실주,45595,구분,(주)조은와인,51
과실주,45595,구분,에르네스주식회사,51
과실주,45595,구분,인터리커 주식회사,51
과실주,45595,구분,주식회사 비노폴리오,50
과실주,45595,구분,(주)르몽드뒤벵,50
과실주,45595,구분,(주)쥬시프루트,50
과실주,45595,구분,와인미담,49
과실주,45595,구분,(주)유니베브,49
과실주,45595,구분,머천트인터내셔널,48
과실주,45595,구분,주식회사 보틀샤크,48
과실주,45595,구분,큐리어스와인 주식회사,48
과실주,45595,구분,더바인컴퍼니,47
과실주,45595,구분,주식회사 크로스비트레이딩,47
과실주,45595,구분,주식회사 노랑방,47
과실주,45595,구분,(주)블루와인,47
과실주,45595,구분,자스페로인터내셔널,46
과실주,45595,구분,주식회사 투데이에프앤비,46
과실주,45595,구분,뱅브로(VINBRO),46
과실주,45595,구분,주식회사 오센,45
과실주,45595,구분,유한회사 헬레닉와인,45
과실주,45595,구분,퍼플퀸,45
과실주,45595,구분,코리안와인즈 주식회사,44
과실주,45595,구분,비노머천트코리아,44
과실주,45595,구분,(주)그랜드인터내셔날,44
과실주,45595,구분,(주)이음코리아,44
과실주,45595,구분,글라스 오브 와인(Glass of wine),44
과실주,45595,구분,케레스컴퍼니,43
과실주,45595,구분,주식회사 마크컴퍼니,43
과실주,45595,구분,아이수마,42
과실주,45595,구분,와인바이레이저스미스,42
과실주,45595,구분,타펙스,41
과실주,45595,구분,주식회사 마뱅코리아,40
과실주,45595,구분,케레스컴퍼니(주),39
과실주,45595,구분,(주)광명주류,39
과실주,45595,구분,(주)비눔인터내셔널,39
과실주,45595,구분,주식회사 비뇽,39
과실주,45595,구분,주식회사 와인브라더스인터내셔널,38
과실주,45595,구분,주식회사씨앤에스,38
과실주,45595,구분,주식회사투플러스와인,38
과실주,45595,구분,(주)탑스피릿,38
과실주,45595,구분,주식회사 제이앤제이와인,37
과실주,45595,구분,(주)콜리코,37
과실주,45595,구분,어게인스트보더스 주식회사,37
과실주,45595,구분,(주)차르와인,37
과실주,45595,구분,에이치 비 케이무역(HBK Trade),36
과실주,45595,구분, 주주코리아(주) (JUJU KOREA INC.),36
과실주,45595,구분,뚜비노 주식회사,35
과실주,45595,구분,베스트바이앤베버리지(주),35
과실주,45595,구분,코지(KO-JI),35
과실주,45595,구분,주식회사 라비뒤방,35
과실주,45595,구분,(주)트렌드인터내셔날,35
과실주,45595,구분,케이프 와인 셀러,35
과실주,45595,구분,주식회사 스피릿프랑스코리아,35
과실주,45595,구분,케이셀라주식회사,34
과실주,45595,구분,주식회사 피네스,34
과실주,45595,구분,몰로 몰로,34
과실주,45595,구분,조이 인터내셔날,34
과실주,45595,구분,비노이스타,34
과실주,45595,구분,크란츠 코퍼레이션,34
과실주,45595,구분,(주) 바겐,34
과실주,45595,구분,주식회사 저스템,34
과실주,45595,구분,(주)가나트레이딩,33
과실주,45595,구분,(주)비엔씨와인,33
과실주,45595,구분,주식회사 벨리노,33
과실주,45595,구분,피케이인터내셔날 주식회사,33
과실주,45595,구분,유한회사 글로벌트레이드임익스포트,33
과실주,45595,구분,(주)리스코아이엔씨,32
과실주,45595,구분,주식회사 바이닝인터내셔널,32
과실주,45595,구분,주식회사 피엔에스와인컴퍼니,32
과실주,45595,구분,(주)레페리레와인임포트,31
과실주,45595,구분,시퍼스와인 주식회사,30
과실주,45595,구분,와인공간 유한회사,30
과실주,45595,구분,화강주류 주식회사,30
과실주,45595,구분,레어빈 주식회사 ,30
과실주,45595,구분,주식회사 모노드림,29
과실주,45595,구분,주식회사 드바인임포츠,29
과실주,45595,구분,이티씨와인,29
과실주,45595,구분,트랜스베버리지 주식회사,29
과실주,45595,구분,주식회사 콜드스프링,29
과실주,45595,구분,(주)뵐페리미티드,29
과실주,45595,구분,주식회사 엘컴퍼니,28
과실주,45595,구분,머스트와인,28
과실주,45595,구분,보아무역,27
과실주,45595,구분,"콤마,와인",27
과실주,45595,구분,주식회사 스퍼리어인터내셔널,27
과실주,45595,구분,주식회사 러스코,27
과실주,45595,구분,(주)플라토와인트레이딩,26
과실주,45595,구분,(주)메르뱅,26
과실주,45595,구분,레드카이트,26
과실주,45595,구분,주식회사 동부인터내셔널,26
과실주,45595,구분,(주)롯데아사히주류,26
과실주,45595,구분,주식회사 디아비노,25
과실주,45595,구분,(주)디오엘앤비,25
과실주,45595,구분,앤드류컴퍼니,25
과실주,45595,구분,주식회사 케이앤알리커,24
과실주,45595,구분,(주)솔트와인,24
과실주,45595,구분,라비앤와인,24
과실주,45595,구분,엔와이인터내셔널 주식회사,24
과실주,45595,구분,주식회사비엘디에스,24
과실주,45595,구분,노아와인컴퍼니,23
과실주,45595,구분,(주)더블유앤비트레이딩,23
과실주,45595,구분,비더블유아이코리아 주식회사,23
과실주,45595,구분,누룩상회,23
과실주,45595,구분,국제와인,22
과실주,45595,구분,마꽁이네,22
과실주,45595,구분,타니노 인터내셔날,22
과실주,45595,구분,주식회사 메종 콩티,22
과실주,45595,구분,에이스무역,22
과실주,45595,구분,주식회사 비지엠,22
과실주,45595,구분,파인와인즈코리아 주식회사,21
과실주,45595,구분,오지노와인,21
과실주,45595,구분,하이네켄코리아 주식회사,21
과실주,45595,구분,주식회사 오에이와이,21
과실주,45595,구분,제이엘아이앤씨 주식회사,20
과실주,45595,구분,(주)베라와인,20
과실주,45595,구분,제이와인주식회사,20
과실주,45595,구분,(주)와인꼼마,19
과실주,45595,구분,Vin Show (뱅 쇼),19
과실주,45595,구분,리토레,19
과실주,45595,구분,(주)디와이인터내셔널,19
과실주,45595,구분,(주)리커밸리,19
과실주,45595,구분,(주)비어벨트코리아,19
과실주,45595,구분,레드카이트 와인 앤 스피리츠,19
과실주,45595,구분,(주)와인덕,19
과실주,45595,구분,주식회사니혼슈코리아,18
과실주,45595,구분,(주)이랜드팜앤푸드,18
과실주,45595,구분,주식회사 칸노나우,18
과실주,45595,구분,(주)멜로우와인즈,18
과실주,45595,구분,주식회사 테이스트버드,18
과실주,45595,구분,에이블주류 주식회사,18
과실주,45595,구분,주식회사 호정물산,18
과실주,45595,구분,제이케이파트너그룹,18
과실주,45595,구분,(주)보르도,18
과실주,45595,구분,휘게팜,18
과실주,45595,구분,주식회사 즐거운이야기,17
과실주,45595,구분,주식회사 태승코리아,17
과실주,45595,구분,주식회사 신명상사,17
과실주,45595,구분,(주)와인러버,17
과실주,45595,구분,주식회사 비노브라더스,17
과실주,45595,구분,안디나와인(주),17
과실주,45595,구분,위드,17
과실주,45595,구분,쎄덱와인,16
과실주,45595,구분,유어와인즈,16
과실주,45595,구분,세인트 와인,16
과실주,45595,구분,알로라 와인,16
과실주,45595,구분,수미르,15
과실주,45595,구분,주식회사 트레방,15
과실주,45595,구분,(주)와인박스,15
과실주,45595,구분,주식회사 에프제이코리아,15
과실주,45595,구분,주식회사 비미 파주지점,15
과실주,45595,구분,주식회사 이언트레이딩,15
과실주,45595,구분,주식회사떼흐듀뱅,15
과실주,45595,구분,뱅그루(주),15
과실주,45595,구분,주식회사 모노글로트홀딩스,15
과실주,45595,구분,(주)엠서클,14
과실주,45595,구분,(주)에치와이,14
과실주,45595,구분,주식회사 글로렌즈,14
과실주,45595,구분,골드럭 와인(Goldluck Wine),14
과실주,45595,구분,선데이와인서울,14
과실주,45595,구분,(주)지중해와인,14
과실주,45595,구분,와인네스트,14
과실주,45595,구분,주식회사 바인하우스,14
과실주,45595,구분,(주)루비노,14
과실주,45595,구분,주식회사 하이 파이브 엘앤비,14
과실주,45595,구분,주식회사 비엘비코리아,13
과실주,45595,구분,주식회사 제우스엘앤비,13
과실주,45595,구분,지케이 인터내셔널,13
과실주,45595,구분,구르메에프앤드비코리아(주),13
과실주,45595,구분,주식회사 뱅코리아,12
과실주,45595,구분,합자회사 춘파,12
과실주,45595,구분,(주)젠니혼주류,12
과실주,45595,구분,유한회사 태림주류교역,12
과실주,45595,구분,(주)쁘띠리커,12
과실주,45595,구분,오리와인컴퍼니(OH&LEE WINE COMPANY),12
과실주,45595,구분,준앤폴 초이스,12
과실주,45595,구분,(주)유픽,12
과실주,45595,구분,하이트진로㈜ 청주공장,12
과실주,45595,구분,(주)비노메이트,12
과실주,45595,구분,주식회사 웰토와인,12
과실주,45595,구분,주식회사 이뱅와인,12
과실주,45595,구분,엘디브이(LDV),12
과실주,45595,구분,(주)네크레시에스테이트코리아,12
과실주,45595,구분,루나,12
과실주,45595,구분,(주)제이스통상,12
과실주,45595,구분,비더블유아이코리아(BWI KOREA),12
과실주,45595,구분,주식회사 오비노,11
과실주,45595,구분,와이즈위트_제이알,11
과실주,45595,구분,인터내셔널 스카이 주식회사,11
과실주,45595,구분,(주)비비에이치코리아(BBH Korea),11
과실주,45595,구분,빅샷임포츠,11
과실주,45595,구분,바카디코리아(주),11
과실주,45595,구분,주식회사 진케이스피리츠코리아,11
과실주,45595,구분,(주)암포라와인트레이딩,11
과실주,45595,구분,(주)트레비노,11
과실주,45595,구분,(주)까사데멘도사,11
과실주,45595,구분,주식회사디톤,11
과실주,45595,구분,주식회사 팝앤포,11
과실주,45595,구분,(주)이앤씨베버리지,11
과실주,45595,구분,노아엘앤비 주식회사,11
과실주,45595,구분,드링크인터내셔널 주식회사,11
과실주,45595,구분,주식회사 아도비노,10
과실주,45595,구분,마비스코리아,10
과실주,45595,구분,원 월드비어코리아,10
과실주,45595,구분,(주)보데가,10
과실주,45595,구분,이스트바인 주식회사,10
과실주,45595,구분,(주)에이비씨코퍼레이션,10
과실주,45595,구분,와인클럽,10
과실주,45595,구분,(주)보라리커,9
과실주,45595,구분,동일와인코퍼레이션,9
과실주,45595,구분,(주)비티알커머스,9
과실주,45595,구분,(주)제오막코리아,9
과실주,45595,구분,유한회사 포폭스코리아,9
과실주,45595,구분,와인포레,9
과실주,45595,구분,주식회사 이탈코 인터내셔널,9
과실주,45595,구분,(주) 유로와인서비스,9
과실주,45595,구분,(주)와인엔베버리지,9
과실주,45595,구분,(주)리바인,9
과실주,45595,구분,주식회사 포어포어포어,9
과실주,45595,구분,주식회사 켐눅스,9
과실주,45595,구분,네이처와인,9
과실주,45595,구분,(주)아하 인터내셔날,9
과실주,45595,구분,곤커머스,8
과실주,45595,구분,태광무역,8
과실주,45595,구분,주식회사 남극이야기,8
과실주,45595,구분,MRJ Groupe,8
과실주,45595,구분,보드카미르(VODKAMIR),8
과실주,45595,구분,커넥스T,8
과실주,45595,구분,롯데칠성음료㈜경산공장,8
과실주,45595,구분,인터내셔날러시아(주),8
과실주,45595,구분,(주)휴에프와인,8
과실주,45595,구분,(주)이코엘앤비,8
과실주,45595,구분,(주)마이비어,8
과실주,45595,구분,(주)스타네트웍스,8
과실주,45595,구분,(주)한준스펙스인터네셔널,8
과실주,45595,구분,(주)비어썸(Beersum),8
과실주,45595,구분,주식회사 워크인프로그레스,8
과실주,45595,구분,소로다노이,8
과실주,45595,구분,에스투에스엘앤비,8
과실주,45595,구분,돈키호테 상사,8
과실주,45595,구분,(주)원스인터내셔널,7
과실주,45595,구분,코알라와인컴퍼니,7
과실주,45595,구분,주식회사 더퍼스트주류,7
과실주,45595,구분,크로벤CRO,7
과실주,45595,구분,아나브린(Anavrin),7
과실주,45595,구분,(주)아이푸드넷,7
과실주,45595,구분,(주)일로사케,7
과실주,45595,구분,주식회사 솜픽와인,7
과실주,45595,구분,에이치앤제이글로벌,7
과실주,45595,구분,주식회사 더아이비코리아,7
과실주,45595,구분,주식회사 진산인터네쇼날,7
과실주,45595,구분,윤코리아,7
과실주,45595,구분,(주)비이엑스스피리츠코리아,7
과실주,45595,구분,주)디바인와인,7
과실주,45595,구분,주식회사 이노오알피,7
과실주,45595,구분,비노캄포스,7
과실주,45595,구분,피코무역(주),7
과실주,45595,구분,케이앤와인,7
과실주,45595,구분,주식회사 샴페인일팔팔팔,7
과실주,45595,구분,(주)르 셀라비,7
과실주,45595,구분,마츠투스,7
과실주,45595,구분,칸타비노,6
과실주,45595,구분,(주)스타엘앤비 (STAR L&B),6
과실주,45595,구분,(주)리커엔조이,6
과실주,45595,구분,주식회사 1982인터내셔널,6
과실주,45595,구분,주식회사 호프코퍼레이션,6
과실주,45595,구분,(주)뮤즈인터내셔날,6
과실주,45595,구분,로엔히,6
과실주,45595,구분,주식회사 피씨씨,6
과실주,45595,구분,피이비커머스,6
과실주,45595,구분,주식회사 베나코에프앤비,6
과실주,45595,구분,소울와인 주식회사,6
과실주,45595,구분,정미술,6
과실주,45595,구분,(주)에버글로우와인코리아,6
과실주,45595,구분,교촌에프앤비(주),6
과실주,45595,구분,방비방,6
과실주,45595,구분,엠버&처빌,6
과실주,45595,구분,퍼플오션와이너리,6
과실주,45595,구분,(주)큐엠비코퍼레이션,6
과실주,45595,구분,노아스 바크,6
과실주,45595,구분,(주)비노파일,6
과실주,45595,구분,파란 와인,6
과실주,45595,구분,주식회사 와인별,6
과실주,45595,구분,퍼스트브로스인코퍼레이션,6
과실주,45595,구분,주식회사 유노와인,6
과실주,45595,구분,(주)마이인터내셔널,6
과실주,45595,구분,오비맥주 주식회사,6
과실주,45595,구분,조지아와인,6
과실주,45595,구분,그랜드이스트와인,5
과실주,45595,구분,(주)선인터내셔널,5
과실주,45595,구분,오칼라한트레이딩 주식회사,5
과실주,45595,구분,주식회사 프롬티알,5
과실주,45595,구분,비욘트,5
과실주,45595,구분,부갓스페텔코리아 주식회사,5
과실주,45595,구분,비아이에스상사(주),5
과실주,45595,구분,(주)와인토피아,5
과실주,45595,구분,꼬또,5
과실주,45595,구분,(주)에스제이와인,5
과실주,45595,구분,(주)글뤼바인코리아,5
과실주,45595,구분,주식회사 씨더블유씨코리아,5
과실주,45595,구분,(주)제니알인코퍼레이션,5
과실주,45595,구분,까멜라 코리아,5
과실주,45595,구분,주식회사비노스,5
과실주,45595,구분,(주)트렌유럽,5
과실주,45595,구분,헬로바이마켓,5
과실주,45595,구분,다루테,5
과실주,45595,구분,(주)태산주류,5
과실주,45595,구분,아미,5
과실주,45595,구분,주식회사 라온리쿼,5
과실주,45595,구분,폼페트,5
과실주,45595,구분,밍스그레이프(Mings Grape),5
과실주,45595,구분,퓨어 매직(Pure Magic),5
과실주,45595,구분,주식회사굿인터내셔널,5
과실주,45595,구분,(주)비노티풀,5
과실주,45595,구분,썬트레이드,4
과실주,45595,구분,와인정,4
과실주,45595,구분,몽크라페주류 주식회사,4
과실주,45595,구분,(주)더웬즈빌,4
과실주,45595,구분,주식회사 파이이십일,4
과실주,45595,구분,세이슌 인터네셔널,4
과실주,45595,구분,칠락와인,4
과실주,45595,구분,주식회사 케이씨아이총판,4
과실주,45595,구분,주식회사 쉐어위드더블유앤엘,4
과실주,45595,구분,디바인,4
과실주,45595,구분,와인창고,4
과실주,45595,구분,(주)이노밴티지,4
과실주,45595,구분,원로드인터내셔널,4
과실주,45595,구분,주식회사 유니온드링크,4
과실주,45595,구분,(주)에스테크노피아,4
과실주,45595,구분,주식회사 소굿인터내셔널,4
과실주,45595,구분,(주)알케이 인터내셔날,4
과실주,45595,구분,와이투라인,4
과실주,45595,구분,유한회사 그레이프환타지,4
과실주,45595,구분,비노솔 셀렉션,3
과실주,45595,구분,주크박스글로벌 주식회사,3
과실주,45595,구분,빈앤크루 주식회사,3
과실주,45595,구분,주식회사 바인스토리,3
과실주,45595,구분,굿윌F&B,3
과실주,45595,구분,가야드림,3
과실주,45595,구분,르방드알프스,3
과실주,45595,구분,멜리멜로,3
과실주,45595,구분,보해양조(주)장성공장,3
과실주,45595,구분,원오원(101),3
과실주,45595,구분,(주)프렌치에삐스리,3
과실주,45595,구분,태웅국제주류,3
과실주,45595,구분,와미,3
과실주,45595,구분,주식회사 그룬트와인컴퍼니,3
과실주,45595,구분,마르 델 플라타,3
과실주,45595,구분,(주)하이리치와인,3
과실주,45595,구분,백성기와인,3
과실주,45595,구분,비노먼트,3
과실주,45595,구분,롯데웰푸드주식회사천안공장,3
과실주,45595,구분,윤스인터내셔널,3
과실주,45595,구분,자도르뱅 인터내셔날,3
과실주,45595,구분,왓트레이딩 주식회사,3
과실주,45595,구분,주식회사 사케마루,3
과실주,45595,구분,인썸,2
과실주,45595,구분,주식회사 더클론,2
과실주,45595,구분,삼이트렌디,2
과실주,45595,구분,(주)아인컴퍼니,2
과실주,45595,구분,월드와인즈 주식회사,2
과실주,45595,구분,와인디렉션(주),2
과실주,45595,구분,주식회사 케네디하우스스피리츠,2
과실주,45595,구분,신성무역,2
과실주,45595,구분,주식회사 언노운 와인,2
과실주,45595,구분,코피트리(KOPITREE),2
과실주,45595,구분,(주)케이엘트레이딩,2
과실주,45595,구분,에버딘코리아,2
과실주,45595,구분,주식회사 비노블루,2
과실주,45595,구분,새한와인(주),2
과실주,45595,구분,몬떼올리베또,2
과실주,45595,구분,비눔인터내셔널,2
과실주,45595,구분,와인코리아㈜농업회사법인,2
과실주,45595,구분,퓨어올릭,2
과실주,45595,구분,주)비지에프푸드,2
과실주,45595,구분,주식회사 낙원무역,2
과실주,45595,구분,맨하탄유통,2
과실주,45595,구분,새롬무역,2
과실주,45595,구분,리치오주식회사,2
과실주,45595,구분,주식회사 와인이츠,2
과실주,45595,구분,루다코퍼레이션,2
과실주,45595,구분,(주)씨엔더블유,2
과실주,45595,구분,사우스트레이드 유한회사,2
과실주,45595,구분,와인집(Wine Zip),2
과실주,45595,구분,와인코리아(주)농업회사법인,2
과실주,45595,구분,메타베브코리아(주),2
과실주,45595,구분,주식회사 경브라더스,2
과실주,45595,구분,수입업체,1
과실주,45595,구분,주식회사 퍼스,1
과실주,45595,구분,블링커스 주식회사,1
과실주,45595,구분,주세페주스티코리아 유한회사,1
과실주,45595,구분,주식회사 마크웰,1
과실주,45595,구분,주식회사 알콜스튜디오,1
과실주,45595,구분,주식회사 글레스코코리아 수원점,1
과실주,45595,구분,와인파이프,1
과실주,45595,구분,리쿼마운틴,1
과실주,45595,구분,보데가(주),1
과실주,45595,구분,(주)와인브릿지,1
과실주,45595,구분,(주)명오물산,1
과실주,45595,구분,오션무역,1
과실주,45595,구분,주식회사 스플래쉬,1
과실주,45595,구분,화요,1
과실주,45595,구분,신원무역,1
과실주,45595,구분,(주)우바셀러,1
과실주,45595,구분,㈜무학 중리공장,1
과실주,45595,구분,(주)펀드링크,1
과실주,45595,구분,소립컴퍼니,1
과실주,45595,구분,주식회사 빌라오피코리아,1
과실주,45595,구분,디오니코리아,1
과실주,45595,구분,(주)케이제이유통,1
과실주,45595,구분,살롱드상상,1
과실주,45595,구분,와인소풍주식회사,1
과실주,45595,구분,세종무역,1
과실주,45595,구분,미르종합상사,1
과실주,45595,구분,줄리뱅(Joli-Vin),1
과실주,45595,구분,주식회사 시바타야코리아,1
과실주,45595,구분,어크로스더리버트레이딩코리아 주식회사,1
과실주,45595,구분,하나셀라,1
과실주,45595,구분,디케이글로벌코리아,1
과실주,45595,구분,와이제이트레이딩,1
과실주,45595,구분,(주)엘보스께,1
과실주,45595,구분,(주)장군무역,1
과실주,45595,구분,주식회사 엘앤비컴퍼니,1
과실주,45595,구분,리미떼 뱅,1
과실주,45595,구분,유한회사두성무역,1
과실주,45595,구분,호수주류,1
과실주,45595,구분,(주)비노피,1
과실주,45595,구분,(주)한국엘넥,1
과실주,45595,구분,모라비노코리아(주),1
과실주,45595,구분,스타물산,1
과실주,45595,구분,체미주식회사,1
과실주,45595,구분,주식회사 르까프리스,1
과실주,45595,구분,엠에프글로벌(주),1
과실주,45595,구분,동성 트레이딩,1
과실주,45595,구분,(주)성림,1
과실주,45595,구분,롯데제과(주),1
과채가공품,27907,구분,(주)웰팜,626
과채가공품,27907,구분,(주)화풍하이큐,440
과채가공품,27907,구분,씨제이프레시웨이주식회사,389
과채가공품,27907,구분,(유)돌코리아,374
과채가공품,27907,구분,(주)대화엠피,371
과채가공품,27907,구분,(주)제원인터내쇼날,358
과채가공품,27907,구분,(주)오뚜기,342
과채가공품,27907,구분,(주)보라티알,342
과채가공품,27907,구분,(주)코맥스인터내셔널,307
과채가공품,27907,구분,(주)이룸푸드시스템,302
과채가공품,27907,구분,주식회사 아푸,287
과채가공품,27907,구분,(주)이마트,277
과채가공품,27907,구분,주식회사 유성물산,268
과채가공품,27907,구분,(주)동성글로벌,253
과채가공품,27907,구분,농심태경(주),250
과채가공품,27907,구분,주식회사 제이씨월드,249
과채가공품,27907,구분,(주)명진무역,237
과채가공품,27907,구분,(주)베이크플러스,233
과채가공품,27907,구분,(주)우양(청양공장),222
과채가공품,27907,구분,(주)동서,222
과채가공품,27907,구분,주식회사 준스팜,211
과채가공품,27907,구분,(주)영인코퍼레이션,211
과채가공품,27907,구분,(주)선인,200
과채가공품,27907,구분,에스비트레이드 주식회사,188
과채가공품,27907,구분,(주)녹지푸드,183
과채가공품,27907,구분,농업회사법인 (주)대정,180
과채가공품,27907,구분,솜인터내셔널(주),180
과채가공품,27907,구분,(주)네이처에프앤비,180
과채가공품,27907,구분,(주)농심,179
과채가공품,27907,구분,롯데칠성음료(주),178
과채가공품,27907,구분,신정푸드(주),174
과채가공품,27907,구분,주식회사 대인무역,166
과채가공품,27907,구분,(주)쉐프스푸드,164
과채가공품,27907,구분,주식회사 한국미농,161
과채가공품,27907,구분,씨제이프레시웨이(주),158
과채가공품,27907,구분,(주)푸드야식품,153
